Company,Item,Year,Data Kind,Data,Source,Comment
Agilent Technologies,MedTech & Healthcare Supply,2010,Actual Data,2679,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2011,Actual Data,3306.95488,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2012,Actual Data,3538.866552,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2013,Actual Data,3887.01931,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2014,Actual Data,4040.7115,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2015,Actual Data,4030.722493,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2016,Actual Data,4193.315362,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2017,Actual Data,4462.545837,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2018,Actual Data,4903.6334,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2019,Actual Data,5151.77593,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2020,Actual Data,5339.000005,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2021,Actual Data,6319.000084,Reported,
Agilent Technologies,MedTech & Healthcare Supply,2022,Actual Data,6730.66715,Forecast,
Agilent Technologies,MedTech & Healthcare Supply,2023,Actual Data,7209.559455,Forecast,
Agilent Technologies,MedTech & Healthcare Supply,2023,CAGR (%),7.9125614,Forecast,
Agilent Technologies,Other Sales,2010,Actual Data,2784,Reported,
Agilent Technologies,Other Sales,2011,Actual Data,3316,Reported,
Agilent Technologies,Other Sales,2012,Actual Data,3315,Reported,
Agilent Technologies,Total WW Revenues,2010,Actual Data,5463,Reported,
Agilent Technologies,Total WW Revenues,2011,Actual Data,6622.95488,Reported,
Agilent Technologies,Total WW Revenues,2012,Actual Data,6853.866552,Reported,
Agilent Technologies,Total WW Revenues,2013,Actual Data,3887.01931,Reported,
Agilent Technologies,Total WW Revenues,2014,Actual Data,4040.7115,Reported,
Agilent Technologies,Total WW Revenues,2015,Actual Data,4030.722493,Reported,
Agilent Technologies,Total WW Revenues,2016,Actual Data,4193.315362,Reported,
Agilent Technologies,Total WW Revenues,2017,Actual Data,4462.545837,Reported,
Agilent Technologies,Total WW Revenues,2018,Actual Data,4903.6334,Reported,
Agilent Technologies,Total WW Revenues,2019,Actual Data,5151.77593,Reported,
Agilent Technologies,Total WW Revenues,2020,Actual Data,5339.000005,Reported,
Agilent Technologies,Total WW Revenues,2021,Actual Data,6319.000084,Reported,
Agilent Technologies,Total WW Revenues,2022,Actual Data,6730.66715,Forecast,
