"Value Added by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2022"
"Line","","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Gross domestic product",17991.3,18193.7,18307.0,18332.1,18425.3,18611.6,18775.5,18968.0,19153.9,19322.9,19558.7,19883.0,20143.7,20492.5,20659.1,20813.3,21001.6,21289.3,21505.0,21694.5,21481.4,19477.4,21138.6,21477.6,22038.2,22741.0,23202.3,24002.8
"2","Private industries",15673.4,15859.3,15958.8,15974.8,16060.3,16234.8,16383.7,16564.8,16735.3,16889.6,17103.3,17402.0,17634.7,17956.7,18096.7,18235.5,18413.4,18685.0,18871.3,19033.4,18784.2,16846.5,18469.7,18792.2,19332.8,19998.2,20396.4,21166.6
"3","    Agriculture, forestry, fishing, and hunting",179.7,179.7,183.3,177.8,170.4,170.3,165.5,157.2,181.0,178.9,170.4,173.4,178.2,182.7,170.2,171.4,159.7,158.8,163.3,168.4,183.8,140.2,172.9,201.2,214.4,254.7,261.7,255.0
"4","        Farms",145.3,145.4,147.5,142.7,133.9,134.5,130.0,121.2,144.8,142.6,133.9,136.2,140.0,144.1,131.6,132.6,120.9,119.4,123.7,128.0,142.6,103.9,133.0,159.2,172.6,213.1,217.6,208.5
"5","        Forestry, fishing, and related activities",34.4,34.3,35.8,35.1,36.5,35.8,35.5,36.0,36.3,36.3,36.5,37.2,38.2,38.6,38.5,38.8,38.8,39.5,39.7,40.4,41.2,36.3,39.9,42.0,41.8,41.6,44.1,46.4
"6","    Mining",290.4,279.2,251.4,225.7,196.8,211.9,222.8,240.9,262.2,270.1,274.3,300.9,308.0,322.6,328.8,321.2,302.1,305.6,288.1,286.9,236.6,126.6,170.7,194.5,243.7,265.5,289.4,336.1
"7","        Oil and gas extraction",172.1,172.1,153.1,135.2,116.0,135.1,144.2,159.0,172.0,170.4,171.2,193.3,197.2,205.6,214.9,206.0,185.6,188.4,176.6,180.3,133.4,48.1,92.9,116.2,160.8,178.6,201.3,244.3
"8","        Mining, except oil and gas",53.2,50.8,48.7,47.4,45.3,46.3,48.2,49.9,53.5,57.2,57.4,59.1,58.9,60.0,57.0,57.9,57.6,59.5,59.6,59.9,59.4,53.1,56.8,57.7,61.5,63.6,63.8,65.3
