naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
23,Construction,237,Heavy and Civil Engineering Construction,2379,Other Heavy and Civil Engineering Construction,23799,Other Heavy and Civil Engineering Construction
31,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31528,Other Cut and Sew Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32518,Other Basic Inorganic Chemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3273,Cement and Concrete Product Manufacturing,32732,Ready-Mix Concrete Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33994,Office Supplies (except Paper) Manufacturing
42,Wholesale Trade,425,Wholesale Electronic Markets and Agents and Brokers,4251,Wholesale Electronic Markets and Agents and Brokers,42512,Wholesale Trade Agents and Brokers
48,Transportation and Warehousing,483,Water Transportation,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",48311,"Deep Sea, Coastal, and Great Lakes Water Transportation"
51,Information,512,Motion Picture and Sound Recording Industries,5122,Sound Recording Industries,51222,Integrated Record Production/Distribution
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5221,Depository Credit Intermediation,52212,Savings Institutions
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53228,Other Consumer Goods Rental
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54161,Management Consulting Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5616,Investigation and Security Services,56162,Security Systems Services
62,Health Care and Social Assistance,622,Hospitals,6222,Psychiatric and Substance Abuse Hospitals,62221,Psychiatric and Substance Abuse Hospitals
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7131,Amusement Parks and Arcades,71311,Amusement and Theme Parks
81,Other Services (except Public Administration),811,Repair and Maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,81121,Electronic and Precision Equipment Repair and Maintenance
92,Public Administration,922,"Justice, Public Order, and Safety Activities",9221,"Justice, Public Order, and Safety Activities",92215,Parole Offices and Probation Offices
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1125,Aquaculture,11251,Aquaculture
21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining
31,Manufacturing,311,Food Manufacturing,3117,Seafood Product Preparation and Packaging,31171,Seafood Product Preparation and Packaging
31,Manufacturing,314,Textile Product Mills,3141,Textile Furnishings Mills,31412,Curtain and Linen Mills
31,Manufacturing,316,Leather and Allied Product Manufacturing,3162,Footwear Manufacturing,31621,Footwear Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",32532,Pesticide and Other Agricultural Chemical Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3312,Steel Product Manufacturing from Purchased Steel,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3342,Communications Equipment Manufacturing,33429,Other Communications Equipment Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3359,Other Electrical Equipment and Component Manufacturing,33592,Communication and Energy Wire and Cable Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42385,Service Establishment Equipment and Supplies Merchant Wholesalers
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4482,Shoe Stores,44821,Shoe Stores
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4851,Urban Transit Systems,48511,Urban Transit Systems
51,Information,512,Motion Picture and Sound Recording Industries,5122,Sound Recording Industries,51225,Record Production and Distribution
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5242,"Agencies, Brokerages, and Other Insurance Related Activities",52429,Other Insurance Related Activities
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5415,Computer Systems Design and Related Services,54151,Computer Systems Design and Related Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5619,Other Support Services,56199,All Other Support Services
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6215,Medical and Diagnostic Laboratories,62151,Medical and Diagnostic Laboratories
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,311,Food Manufacturing,3115,Dairy Product Manufacturing,31151,Dairy Product (except Frozen) Manufacturing
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31499,All Other Textile Product Mills
32,Manufacturing,322,Paper Manufacturing,3221,"Pulp, Paper, and Paperboard Mills",32212,Paper Mills
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32512,Industrial Gas Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33141,Nonferrous Metal (except Aluminum) Smelting and Refining
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3343,Audio and Video Equipment Manufacturing,33431,Audio and Video Equipment Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33712,Household and Institutional Furniture Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4249,Miscellaneous Nondurable Goods Merchant Wholesalers,42491,Farm Supplies Merchant Wholesalers
45,Retail Trade,454,Nonstore Retailers,4542,Vending Machine Operators,45421,Vending Machine Operators
49,Transportation and Warehousing,492,Couriers and Messengers,4921,Couriers and Express Delivery Services,49211,Couriers and Express Delivery Services
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5231,Securities and Commodity Contracts Intermediation and Brokerage,52311,Investment Banking and Securities Dealing
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5415,Computer Systems Design and Related Services,54151,Computer Systems Design and Related Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5617,Services to Buildings and Dwellings,56174,Carpet and Upholstery Cleaning Services
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6219,Other Ambulatory Health Care Services,62199,All Other Ambulatory Health Care Services
72,Accommodation and Food Services,722,Food Services and Drinking Places,7222,Limited-Service Eating Places,72221,Limited-Service Eating Places
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8132,Grantmaking and Giving Services,81321,Grantmaking and Giving Services
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31135,Chocolate and Confectionery Manufacturing
