client_name,company_name,year,industry_code,industry_name,euromonitor_category,country,data_type,forecast_flag,yoy_growth_L1,yoy_growth_L2
BROWN-FORMAN CORP,Brown-Forman Corp,2015,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,,
BROWN-FORMAN CORP,Brown-Forman Corp,2016,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,0.014380990042058395,
BROWN-FORMAN CORP,Brown-Forman Corp,2017,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,0.03248953241481334,0.04733775409900032
BROWN-FORMAN CORP,Brown-Forman Corp,2018,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,0.045439500282856926,0.07940534081502326
BROWN-FORMAN CORP,Brown-Forman Corp,2019,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,0.04804216349429247,0.09566467567883752
BROWN-FORMAN CORP,Brown-Forman Corp,2020,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,0.026759661164067916,0.07608741667505625
BROWN-FORMAN CORP,Brown-Forman Corp,2021,31214,Distilleries,Alcoholic Drinks,USA,Total Value RSP,False,0.013995924313125574,0.012389210658644956
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2015,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,,
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2016,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,0.029296199111354726,
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2017,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,0.013644741663797477,0.04254120170654663
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2018,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,0.05340271402014796,0.06631878944699487
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2019,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,0.03508823967989605,0.08661714647094809
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2020,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,0.11169883224442745,0.14286775652656647
CHURCH & DWIGHT CO INC,Church & Dwight Co Inc,2021,32561,Soap and Cleaning Compound Manufacturing,Consumer Appliances,USA,Retail Volume,False,0.07883465119936683,0.18172774496442823
DECKERS OUTDOOR CORP,Deckers Outdoor Corp,2018,31621,Footwear Manufacturing,Apparel and Footwear,USA,Retail Value RSP,False,,
DECKERS OUTDOOR CORP,Deckers Outdoor Corp,2019,31621,Footwear Manufacturing,Apparel and Footwear,USA,Retail Value RSP,False,0.032174462710768736,
DECKERS OUTDOOR CORP,Deckers Outdoor Corp,2020,31621,Footwear Manufacturing,Apparel and Footwear,USA,Retail Value RSP,False,0.479422839561376,0.5270224745463032
DECKERS OUTDOOR CORP,Deckers Outdoor Corp,2021,31621,Footwear Manufacturing,Apparel and Footwear,USA,Retail Value RSP,False,0.01634405940557082,0.5036026143371253
GOYA FOODS INC,Goya Foods Inc,2018,42441,General Line Grocery Merchant Wholesalers,Staple Foods,USA,Retail Value RSP,False,,
GOYA FOODS INC,Goya Foods Inc,2019,42441,General Line Grocery Merchant Wholesalers,Staple Foods,USA,Retail Value RSP,False,0.015080939150564854,
GOYA FOODS INC,Goya Foods Inc,2020,42441,General Line Grocery Merchant Wholesalers,Staple Foods,USA,Retail Value RSP,False,0.2634646651024295,0.2825188988357279
GOYA FOODS INC,Goya Foods Inc,2021,42441,General Line Grocery Merchant Wholesalers,Staple Foods,USA,Retail Value RSP,False,0.21777224868804512,0.011682876154814448
HERBALIFE NUTRITION LTD,Herbalife Nutrition Ltd,2015,45439,Other Direct Selling Establishments - DO NOT USE,Consumer Health,USA,Retail Value RSP,False,,
HERBALIFE NUTRITION LTD,Herbalife Nutrition Ltd,2016,45439,Other Direct Selling Establishments - DO NOT USE,Consumer Health,USA,Retail Value RSP,False,0.021568517540218046,
