client_name,year,industry_code,industry_name,euromonitor_category,country,data_type,forecast_flag,yoy_growth_L1,yoy_growth_L2
125 COMMERCE DRIVE LLC,2015,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,,
125 COMMERCE DRIVE LLC,2016,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,0.000868774,
125 COMMERCE DRIVE LLC,2017,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,0.000626398,0.00024292
125 COMMERCE DRIVE LLC,2018,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,0.006510775,0.005888455
125 COMMERCE DRIVE LLC,2019,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,0.005867494,0.012340067
125 COMMERCE DRIVE LLC,2020,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,0.006268202,0.012098917
125 COMMERCE DRIVE LLC,2021,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,FALSE,0.000627791,0.005644346
1G4B LLC,2015,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,,
1G4B LLC,2016,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.007244458,
1G4B LLC,2017,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.020557924,0.013462397
1G4B LLC,2018,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.021251057,0.000256255
1G4B LLC,2019,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.021586414,0.043296205
1G4B LLC,2020,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.091348463,0.114906763
1G4B LLC,2021,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.011632367,0.104043428
333 CROSSWAYS REALTY LLC,2015,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,,
333 CROSSWAYS REALTY LLC,2016,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,0.009451894,
333 CROSSWAYS REALTY LLC,2017,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,0.002342087,0.011771844
333 CROSSWAYS REALTY LLC,2018,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,0.012937122,0.015248909
333 CROSSWAYS REALTY LLC,2019,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,0.009008874,0.021829447
333 CROSSWAYS REALTY LLC,2020,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,0.015569567,0.006420429
333 CROSSWAYS REALTY LLC,2021,44611,Pharmacies and Drug Stores - DO NOT USE,Consumer Health,USA,Retail Value RSP,FALSE,0.006082535,0.009392329
4 SEASONS GLOBAL INC,2015,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,,
4 SEASONS GLOBAL INC,2016,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,0.005200975,
4 SEASONS GLOBAL INC,2017,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,0.019121768,0.024223291
4 SEASONS GLOBAL INC,2018,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,0.047161122,0.065381086
4 SEASONS GLOBAL INC,2019,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,0.042860093,0.087999885
4 SEASONS GLOBAL INC,2020,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,0.017630062,0.059734529
4 SEASONS GLOBAL INC,2021,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,Home and Garden,USA,Retail Value RSP,FALSE,0.010775604,0.007044433
A&M ROSENTHAL ENTERPRISES INC,2015,42433,Women's Children's and Infants' Clothing and Accessories Mer,Apparel and Footwear,USA,Retail Value RSP,FALSE,,
A&M ROSENTHAL ENTERPRISES INC,2016,42433,Women's Children's and Infants' Clothing and Accessories Mer,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.007244458,
A&M ROSENTHAL ENTERPRISES INC,2017,42433,Women's Children's and Infants' Clothing and Accessories Mer,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.020557924,0.013462397
A&M ROSENTHAL ENTERPRISES INC,2018,42433,Women's Children's and Infants' Clothing and Accessories Mer,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.021251057,0.000256255
A&M ROSENTHAL ENTERPRISES INC,2019,42433,Women's Children's and Infants' Clothing and Accessories Mer,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.021586414,0.043296205
A&M ROSENTHAL ENTERPRISES INC,2020,42433,Women's Children's and Infants' Clothing and Accessories Mer,Apparel and Footwear,USA,Retail Value RSP,FALSE,0.091348463,0.114906763
