client_name,year,industry_code,industry_name,euromonitor_category,country,data_type,forecast_flag,yoy_growth_L1,yoy_growth_L2
1-800-FLOWERS.COM INC,2015,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.050596942911,
1-800-FLOWERS.COM INC,2016,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.026311348305000003,
1-800-FLOWERS.COM INC,2017,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.060762892164,0.08867299408921125
1-800-FLOWERS.COM INC,2018,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.064022514739,0.12867560006245982
1-800-FLOWERS.COM INC,2019,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.028115943812999998,0.09393851197880876
1-800-FLOWERS.COM INC,2020,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,-0.02740848283,-6.315438044102173e-05
1-800-FLOWERS.COM INC,2021,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.089232559192,0.05937834729559954
1-800-FLOWERS.COM INC,2022,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,True,0.135968525074,0.23733390372732388
1-800-FLOWERS.COM INC,2023,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,True,0.074258606917,0.2203239652472555
1-800-FLOWERS.COM INC,2024,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,True,0.05258640206,0.13075000193720876
1-800-FLOWERS.COM INC,2025,45311,Florists - DO NOT USE,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,True,0.046480620949000004,0.10151127163033102
125 COMMERCE DRIVE LLC,2015,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,0.022055617645,
125 COMMERCE DRIVE LLC,2016,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,0.021638880212,
125 COMMERCE DRIVE LLC,2017,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,0.014056329632,0.03599937307724144
125 COMMERCE DRIVE LLC,2018,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,0.021603140105,0.03596313059581435
125 COMMERCE DRIVE LLC,2019,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,0.024036989529,0.04615940408714159
125 COMMERCE DRIVE LLC,2020,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,0.120507962119,0.14744160027158837
125 COMMERCE DRIVE LLC,2021,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,False,-0.002238753025,0.11799942152871656
125 COMMERCE DRIVE LLC,2022,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,True,0.022336243352,0.020047484994484943
125 COMMERCE DRIVE LLC,2023,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,True,0.027057500776999997,0.04999810705105601
125 COMMERCE DRIVE LLC,2024,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,True,0.029710092908000002,0.057571474546581625
125 COMMERCE DRIVE LLC,2025,32561,Soap and Cleaning Compound Manufacturing,Home Care,USA,Retail Value RSP,True,0.033010701057,0.06370154495956504
1485 BANCROFT LLC,2015,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.049408304666,
1485 BANCROFT LLC,2016,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.037986268259,
1485 BANCROFT LLC,2017,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.04058570071,0.08011366828358413
1485 BANCROFT LLC,2018,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.065761477809,0.10901615417509913
1485 BANCROFT LLC,2019,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.044337682234,0.11301487154950052
1485 BANCROFT LLC,2020,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.073135150335,0.1207154756252049
1485 BANCROFT LLC,2021,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,False,0.17023452246200002,0.2558198001892995
1485 BANCROFT LLC,2022,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,True,0.023204691069,0.19738945303337374
1485 BANCROFT LLC,2023,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,True,0.015010487436,0.03856349222825739
1485 BANCROFT LLC,2024,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,True,0.034465369946,0.04999319938434588
1485 BANCROFT LLC,2025,32619,Other Plastics Product Manufacturing,Consumer Expenditure on Household Goods and Services,USA,Socio-economic indicators,True,0.044380361427,0.08037531694815092
1G4B LLC,2015,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,0.028699298789999998,
1G4B LLC,2016,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,0.003252341713,
1G4B LLC,2017,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,0.019638166723,0.02295437846415216
1G4B LLC,2018,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,0.038820400571,0.059220928791900995
1G4B LLC,2019,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,0.018975176570000002,0.05853220109610002
1G4B LLC,2020,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,-0.211655942258,-0.19669697456464053
1G4B LLC,2021,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,False,0.249049843332,-0.015318978185797305
1G4B LLC,2022,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,True,0.091249938134,0.36302556426286636
1G4B LLC,2023,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,True,0.05125162718700001,0.1471782731308724
1G4B LLC,2024,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,True,0.036750668522,0.08988582727096861
1G4B LLC,2025,45399,All Other Miscellaneous Store Retailers - DO NOT USE,Apparel and Footwear,USA,Retail Value RSP,True,0.02974277524,0.06758651063634846
225 CROSSWAYS REALTY LLC,2015,56132,Temporary Help Services,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.050596942911,
225 CROSSWAYS REALTY LLC,2016,56132,Temporary Help Services,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.026311348305000003,
225 CROSSWAYS REALTY LLC,2017,56132,Temporary Help Services,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.060762892164,0.08867299408921125
225 CROSSWAYS REALTY LLC,2018,56132,Temporary Help Services,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.064022514739,0.12867560006245982
225 CROSSWAYS REALTY LLC,2019,56132,Temporary Help Services,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,0.028115943812999998,0.09393851197880876
225 CROSSWAYS REALTY LLC,2020,56132,Temporary Help Services,Consumer Expenditure on Miscellaneous Goods and Services,USA,Socio-economic indicators,False,-0.02740848283,-6.315438044102173e-05
