client_name,Company,industry_code,industry_name,Item,Quarter,Forecasted_Financial_Year,Reported_Financial_Year,Forecasted_Revenue,Actual_Revenue,pct_change_actual_vs_forecasted,QoQ_actual_vs_forecast_L1,QoQ_actual_vs_forecast_L2,QoQ_actual_vs_forecast_L3,QoQ_actual_vs_forecast_L4
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2012-12-31,2013,2012,3877.45,3543.0,-0.08625514191027604,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013-03-31,2013,2012,3877.45,3543.0,-0.08625514191027604,-0.08625514191027604,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013-06-30,2013,2012,3877.45,3543.0,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013-09-30,2013,2012,3877.45,3543.0,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013-12-31,2013,2012,3877.45,3543.0,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014-03-31,2014,2013,4075.015357,3894.0,-0.04442077909940996,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014-06-30,2014,2013,4075.015357,3894.0,-0.04442077909940996,-0.04442077909940996,-0.08625514191027604,-0.08625514191027604,-0.08625514191027604
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014-09-30,2014,2013,4075.015357,3894.0,-0.04442077909940996,-0.04442077909940996,-0.04442077909940996,-0.08625514191027604,-0.08625514191027604
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014-12-31,2015,2013,4038.0,3894.0,-0.03566121842496285,-0.04442077909940996,-0.04442077909940996,-0.04442077909940996,-0.08625514191027604
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015-03-31,2015,2014,4038.0,4048.0,0.0024764735017335313,-0.03566121842496285,-0.04442077909940996,-0.04442077909940996,-0.04442077909940996
