client_name,Company,industry_code,industry_name,Item,Forecasted_Year,Forecasted_Revenue,YoY_growth_L1,YoY_growth_L2
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013,3872.317333,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,4071.107183,0.051336146525468696,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,4038.0,-0.008132230745053315,0.04278643839130836
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016,4166.958379,0.031936200842000995,0.02354425754258016
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017,4406.149451,0.057401838522179505,0.09117123600792487
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018,4876.589536,0.10676898054223538,0.17029955484467796
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,5120.865534,0.05009156423699457,0.16220877002657974
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020,5339.0,0.04259718685282721,0.09482251081137538
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2021,5924.459034,0.1096570582506089,0.15692532730346853
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2022,6235.788721,0.052549892777265184,0.16796941768121365
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2013,2905.057153,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2014,2922.667483,0.00606195646850316,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2015,3009.607154,0.029746685692331853,0.03598896527458417
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2013,6777.374487,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2014,6993.774667,0.03192979529389839,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2015,4038.0,-0.4226293822342847,-0.4041940566003137
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2016,4166.958379,0.031936200842000995,-0.4041903582250487
