client_name,Company,industry_code,industry_name,year,as_of_date,total_negative_events,total_positive_events,total_events,negative_events_flag,pct_negative_events,negative_event_flag_qoq_L1,negative_event_flag_qoq_L2,negative_event_flag_qoq_L3,negative_event_flag_qoq_L4,negative_event_flag_qoq_L5,negative_event_flag_qoq_L6,negative_event_flag_qoq_L7,negative_event_flag_qoq_L8
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-06-30,0.0,4.0,4.0,0,0.0,,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-12-31,1.0,2.0,3.0,1,0.3333333333333333,0.0,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-03-31,0.0,1.0,1.0,0,0.0,1.0,0.0,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-06-30,1.0,0.0,1.0,1,1.0,0.0,1.0,0.0,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-09-30,0.0,3.0,3.0,0,0.0,1.0,0.0,1.0,0.0,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-12-31,1.0,1.0,2.0,1,0.5,0.0,1.0,0.0,1.0,0.0,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-03-31,2.0,0.0,2.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-06-30,0.0,4.0,4.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-09-30,1.0,3.0,4.0,1,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-12-31,1.0,3.0,4.0,1,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-03-31,1.0,4.0,5.0,1,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-06-30,5.0,2.0,7.0,1,0.7142857142857143,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-09-30,0.0,4.0,4.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-12-31,1.0,4.0,5.0,1,0.2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-03-31,3.0,2.0,5.0,1,0.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-06-30,3.0,5.0,8.0,1,0.375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-09-30,3.0,5.0,8.0,1,0.375,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-12-31,2.0,5.0,7.0,1,0.2857142857142857,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-03-31,0.0,11.0,11.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-06-30,0.0,9.0,9.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-09-30,0.0,7.0,7.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-12-31,0.0,7.0,7.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-03-31,2.0,18.0,20.0,1,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-06-30,3.0,13.0,16.0,1,0.1875,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-09-30,3.0,5.0,8.0,1,0.375,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-12-31,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-03-31,1.0,3.0,4.0,1,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-06-30,0.0,1.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-09-30,2.0,4.0,6.0,1,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-12-31,4.0,5.0,9.0,1,0.4444444444444444,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
