item_code,area_code,year,month,CPI,item_name,region_name
SS47016,0400,2022,03,389.377,"Gasoline, unleaded premium",West
SS47015,0400,2022,03,382.288,"Gasoline, unleaded midgrade",West
SS47014,0400,2022,03,401.205,"Gasoline, unleaded regular",West
SS4501A,0400,2022,03,116.755,New cars and trucks,West
SS45011,0400,2022,03,165.812,New cars,West
SETB01,0400,2022,03,403.994,Gasoline (all types),West
SETB,0400,2022,03,405.789,Motor fuel,West
SETA02,0400,2022,03,199.731,Used cars and trucks,West
SETA01,0400,2022,03,168.029,New vehicles,West
SETA,0400,2022,03,126.163,New and used motor vehicles,West
SEMC,0400,2022,03,386.169,Professional services,West
SEHF02,0400,2022,03,258.683,Utility (piped) gas service,West
SEHF01,0400,2022,03,355.794,Electricity,West
SEHF,0400,2022,03,320.630,Energy services,West
SEHC01,0400,2022,03,397.286,Owners' equivalent rent of primary residence,West
SEHC,0400,2022,03,397.457,Owners' equivalent rent of residences,West
SEHA,0400,2022,03,400.197,Rent of primary residence,West
SEFV,0400,2022,03,325.535,Food away from home,West
SEFJ,0400,2022,03,260.589,Dairy and related products,West
SEEB,0400,2022,03,1564.403,"Tuition, other school fees, and childcare",West
SATCLTB,0400,2022,03,132.851,Transportation commodities less motor fuel,West
SAT1,0400,2022,03,273.820,Private transportation,West
SAT,0400,2022,03,274.446,Transportation,West
SASLE,0400,2022,03,384.938,Services less energy services,West
SASL5,0400,2022,03,364.466,Services less medical care services,West
SASL2RS,0400,2022,03,393.397,Services less rent of shelter,West
SAS4,0400,2022,03,336.388,Transportation services,West
SAS367,0400,2022,03,381.540,Other services,West
SAS2RS,0400,2022,03,403.006,Rent of shelter,West
SAS,0400,2022,03,380.009,Services,West
SARS,0400,2022,03,137.250,Recreation services,West
SARC,0400,2022,03,84.401,Recreation commodities,West
SAR,0400,2022,03,123.430,Recreation,West
SANL13,0400,2022,03,314.412,Nondurables less food and apparel,West
SANL113,0400,2022,03,317.736,"Nondurables less food, beverages, and apparel",West
SANL11,0400,2022,03,238.360,Nondurables less food and beverages,West
SANL1,0400,2022,03,242.563,Nondurables less food,West
SAN,0400,2022,03,273.103,Nondurables,West
SAM2,0400,2022,03,602.602,Medical care services,West
SAM1,0400,2022,03,431.541,Medical care commodities,West
SAM,0400,2022,03,562.215,Medical care,West
SAH31,0400,2022,03,106.597,Household furnishings and supplies,West
SAH3,0400,2022,03,152.223,Household furnishings and operations,West
SAH21,0400,2022,03,319.827,Household energy,West
SAH2,0400,2022,03,368.276,Fuels and utilities,West
SAH1,0400,2022,03,378.224,Shelter,West
SAH,0400,2022,03,331.428,Housing,West
SAGS,0400,2022,03,137.160,Other personal services,West
SAGC,0400,2022,03,128.542,Other goods,West
SAG,0400,2022,03,493.279,Other goods and services,West
SAF116,0400,2022,03,286.615,Alcoholic beverages,West
SAF115,0400,2022,03,248.920,Other food at home,West
SAF114,0400,2022,03,206.730,Nonalcoholic beverages and beverage materials,West
SAF113,0400,2022,03,378.227,Fruits and vegetables,West
SAF112,0400,2022,03,326.704,"Meats, poultry, fish, and eggs",West
SAF111,0400,2022,03,294.139,Cereals and bakery products,West
SAF11,0400,2022,03,293.496,Food at home,West
SAF1,0400,2022,03,308.084,Food,West
SAF,0400,2022,03,306.818,Food and beverages,West
SAES,0400,2022,03,116.468,Education and communication services,West
SAEC,0400,2022,03,63.225,Education and communication commodities,West
SAE,0400,2022,03,141.415,Education and communication,West
SAD,0400,2022,03,127.989,Durables,West
SACL1E,0400,2022,03,160.890,Commodities less food and energy commodities,West
SACL11,0400,2022,03,179.758,Commodities less food and beverages,West
SACL1,0400,2022,03,184.078,Commodities less food,West
SACE,0400,2022,03,412.864,Energy commodities,West
SAC,0400,2022,03,222.597,Commodities,West
SAA,0400,2022,03,124.640,Apparel,West
SA0LE,0400,2022,03,303.023,All items less energy,West
SA0L5,0400,2022,03,293.260,All items less medical care,West
SA0L2,0400,2022,03,276.446,All items less shelter,West
SA0L1E,0400,2022,03,302.993,All items less food and energy,West
SA0L1,0400,2022,03,304.748,All items less food,West
SA0E,0400,2022,03,374.648,Energy,West
SA0,0400,2022,03,305.082,All items,West
AA0,0400,2022,03,493.149,All items - old base,West
SS47016,0300,2022,03,364.950,"Gasoline, unleaded premium",South
SS47015,0300,2022,03,380.888,"Gasoline, unleaded midgrade",South
SS47014,0300,2022,03,343.529,"Gasoline, unleaded regular",South
SS4501A,0300,2022,03,119.700,New cars and trucks,South
SS45011,0300,2022,03,174.209,New cars,South
SETB01,0300,2022,03,349.852,Gasoline (all types),South
SETB,0300,2022,03,352.110,Motor fuel,South
SETA02,0300,2022,03,209.376,Used cars and trucks,South
SETA01,0300,2022,03,175.662,New vehicles,South
SETA,0300,2022,03,130.501,New and used motor vehicles,South
SEMC,0300,2022,03,389.751,Professional services,South
SEHF02,0300,2022,03,239.200,Utility (piped) gas service,South
SEHF01,0300,2022,03,209.956,Electricity,South
SEHF,0300,2022,03,216.103,Energy services,South
SEHC01,0300,2022,03,312.034,Owners' equivalent rent of primary residence,South
SEHC,0300,2022,03,312.040,Owners' equivalent rent of residences,South
SEHA,0300,2022,03,327.124,Rent of primary residence,South
SEFV,0300,2022,03,318.933,Food away from home,South
SEFJ,0300,2022,03,244.669,Dairy and related products,South
SEEB,0300,2022,03,1400.967,"Tuition, other school fees, and childcare",South
SATCLTB,0300,2022,03,135.110,Transportation commodities less motor fuel,South
SAT1,0300,2022,03,271.780,Private transportation,South
SAT,0300,2022,03,268.755,Transportation,South
SASLE,0300,2022,03,351.220,Services less energy services,South
SASL5,0300,2022,03,317.946,Services less medical care services,South
SASL2RS,0300,2022,03,371.853,Services less rent of shelter,South
SAS4,0300,2022,03,384.347,Transportation services,South
SAS367,0300,2022,03,370.325,Other services,South
SAS2RS,0300,2022,03,320.038,Rent of shelter,South
SAS,0300,2022,03,338.263,Services,South
SARS,0300,2022,03,134.156,Recreation services,South
SARC,0300,2022,03,81.211,Recreation commodities,South
SAR,0300,2022,03,128.704,Recreation,South
SANL13,0300,2022,03,298.928,Nondurables less food and apparel,South
SANL113,0300,2022,03,304.866,"Nondurables less food, beverages, and apparel",South
SANL11,0300,2022,03,242.159,Nondurables less food and beverages,South
SANL1,0300,2022,03,242.454,Nondurables less food,South
SAN,0300,2022,03,264.550,Nondurables,South
SAM2,0300,2022,03,564.287,Medical care services,South
SAM1,0300,2022,03,359.712,Medical care commodities,South
SAM,0300,2022,03,512.534,Medical care,South
