item_code,demographics_code,year,value,item_text,demographics_text
ALCBEVG,LB01,2020,478,Alcoholic beverages,Quintiles of income before taxes
HHOTHXPN,LB06,2020,1118,Other household expenses,Composition of consumer unit
HHOTHXPN,LB09,2020,1118,Other household expenses,Race of reference person
HHOTHXPN,LB10,2020,1118,Other household expenses,Hispanic or Latino origin of reference person
HHOTHXPN,LB11,2020,1118,Other household expenses,Region of residence
HHOTHXPN,LB12,2020,1118,Other household expenses,Occupation of reference person
HHOTHXPN,LB14,2020,1118,Other household expenses,Highest education level of any member
HHOTHXPN,LB15,2020,1118,Other household expenses,Deciles of income before taxes
HHOTHXPN,LB16,2020,1118,Other household expenses,Generation of reference person
HHOTHXPN,LB17,2020,1118,Other household expenses,Housing tenure
HHOTHXPN,LB18,2020,1118,Other household expenses,Type of area
HHPERSRV,LB01,2020,347,Personal services,Quintiles of income before taxes
HHPERSRV,LB02,2020,347,Personal services,Income before taxes
HHPERSRV,LB04,2020,347,Personal services,Age of reference person
HHPERSRV,LB05,2020,347,Personal services,Size of consumer unit
HHPERSRV,LB06,2020,347,Personal services,Composition of consumer unit
HHPERSRV,LB07,2020,347,Personal services,Number of earners
HHPERSRV,LB09,2020,347,Personal services,Race of reference person
HHPERSRV,LB10,2020,347,Personal services,Hispanic or Latino origin of reference person
HHPERSRV,LB11,2020,347,Personal services,Region of residence
HHPERSRV,LB12,2020,347,Personal services,Occupation of reference person
HHPERSRV,LB14,2020,347,Personal services,Highest education level of any member
HHPERSRV,LB15,2020,347,Personal services,Deciles of income before taxes
HHPERSRV,LB16,2020,347,Personal services,Generation of reference person
HHPERSRV,LB17,2020,347,Personal services,Housing tenure
HHPERSRV,LB18,2020,347,Personal services,Type of area
HHTXTILE,LB01,2020,116,Household textiles,Quintiles of income before taxes
HHOTHXPN,LB07,2020,1118,Other household expenses,Number of earners
HHOTHXPN,LB05,2020,1118,Other household expenses,Size of consumer unit
HHTXTILE,LB04,2020,116,Household textiles,Age of reference person
HHOTHXPN,LB04,2020,1118,Other household expenses,Age of reference person
HHFURNSH,LB10,2020,2346,Household furnishings and equipment,Hispanic or Latino origin of reference person
HHFURNSH,LB11,2020,2346,Household furnishings and equipment,Region of residence
HHFURNSH,LB12,2020,2346,Household furnishings and equipment,Occupation of reference person
HHFURNSH,LB14,2020,2346,Household furnishings and equipment,Highest education level of any member
HHFURNSH,LB15,2020,2346,Household furnishings and equipment,Deciles of income before taxes
HHFURNSH,LB16,2020,2346,Household furnishings and equipment,Generation of reference person
HHFURNSH,LB17,2020,2346,Household furnishings and equipment,Housing tenure
HHFURNSH,LB18,2020,2346,Household furnishings and equipment,Type of area
HHOPER,LB01,2020,1465,Household operations,Quintiles of income before taxes
HHOPER,LB02,2020,1465,Household operations,Income before taxes
HHOPER,LB04,2020,1465,Household operations,Age of reference person
HHOPER,LB05,2020,1465,Household operations,Size of consumer unit
