client_name,item_name,quarter,consumer_spend
1-800-FLOWERS.COM INC,Other services,2022-01-01,1122954
1-800-FLOWERS.COM INC,Other services,2021-10-01,1107893
1-800-FLOWERS.COM INC,Other services,2021-07-01,1107199
1-800-FLOWERS.COM INC,Other services,2021-04-01,1064397
1-800-FLOWERS.COM INC,Other services,2021-01-01,1031817
1-800-FLOWERS.COM INC,Other services,2020-10-01,1015493
1-800-FLOWERS.COM INC,Other services,2020-07-01,986345
1-800-FLOWERS.COM INC,Other services,2020-04-01,913366
1-800-FLOWERS.COM INC,Other services,2020-01-01,1100668
1-800-FLOWERS.COM INC,Other services,2019-10-01,1132570
1-800-FLOWERS.COM INC,Other services,2019-07-01,1123874
1-800-FLOWERS.COM INC,Other services,2019-04-01,1105081
1-800-FLOWERS.COM INC,Other services,2019-01-01,1095725
1-800-FLOWERS.COM INC,Other services,2018-10-01,1090586
1-800-FLOWERS.COM INC,Other services,2018-07-01,1077854
1-800-FLOWERS.COM INC,Other services,2018-04-01,1071347
1-800-FLOWERS.COM INC,Other services,2018-01-01,1038203
1-800-FLOWERS.COM INC,Other services,2017-10-01,1038901
1-800-FLOWERS.COM INC,Other services,2017-07-01,1031713
1-800-FLOWERS.COM INC,Other services,2017-04-01,1033811
1-800-FLOWERS.COM INC,Other services,2017-01-01,1026010
1-800-FLOWERS.COM INC,Other services,2016-10-01,1004128
1-800-FLOWERS.COM INC,Other services,2016-07-01,1000537
1-800-FLOWERS.COM INC,Other services,2016-04-01,995503
1-800-FLOWERS.COM INC,Other services,2016-01-01,987341
1-800-FLOWERS.COM INC,Other services,2015-10-01,972992
1-800-FLOWERS.COM INC,Other services,2015-07-01,967949
1-800-FLOWERS.COM INC,Other services,2015-04-01,962701
1-800-FLOWERS.COM INC,Other services,2015-01-01,952709
1-800-FLOWERS.COM INC,Other services,2014-10-01,962197
1-800-FLOWERS.COM INC,Other services,2014-07-01,947865
1-800-FLOWERS.COM INC,Other services,2014-04-01,932136
1-800-FLOWERS.COM INC,Other services,2014-01-01,928792
1-800-FLOWERS.COM INC,Other services,2013-10-01,918981
1-800-FLOWERS.COM INC,Other services,2013-07-01,913396
1-800-FLOWERS.COM INC,Other services,2013-04-01,906484
1-800-FLOWERS.COM INC,Other services,2013-01-01,899555
1-800-FLOWERS.COM INC,Other services,2012-10-01,918589
1-800-FLOWERS.COM INC,Other services,2012-07-01,921395
1-800-FLOWERS.COM INC,Other services,2012-04-01,923461
1-800-FLOWERS.COM INC,Other services,2012-01-01,934050
1-800-FLOWERS.COM INC,Other services,2011-10-01,927260
1-800-FLOWERS.COM INC,Other services,2011-07-01,925646
1-800-FLOWERS.COM INC,Other services,2011-04-01,933847
1-800-FLOWERS.COM INC,Other services,2011-01-01,937902
1-800-FLOWERS.COM INC,Other services,2010-10-01,924532
1-800-FLOWERS.COM INC,Other services,2010-07-01,927540
1-800-FLOWERS.COM INC,Other services,2010-04-01,925396
1-800-FLOWERS.COM INC,Other services,2010-01-01,924215
10815 BUILDING LLC,Housing and utilities,2022-01-01,2171075
10815 BUILDING LLC,Housing and utilities,2021-10-01,2152803
10815 BUILDING LLC,Housing and utilities,2021-07-01,2152520
10815 BUILDING LLC,Housing and utilities,2021-04-01,2143924
10815 BUILDING LLC,Housing and utilities,2021-01-01,2142439
10815 BUILDING LLC,Housing and utilities,2020-10-01,2132483
10815 BUILDING LLC,Housing and utilities,2020-07-01,2130740
10815 BUILDING LLC,Housing and utilities,2020-04-01,2128938
10815 BUILDING LLC,Housing and utilities,2020-01-01,2104891
10815 BUILDING LLC,Housing and utilities,2019-10-01,2111835
10815 BUILDING LLC,Housing and utilities,2019-07-01,2105859
10815 BUILDING LLC,Housing and utilities,2019-04-01,2095269
10815 BUILDING LLC,Housing and utilities,2019-01-01,2095944
10815 BUILDING LLC,Housing and utilities,2018-10-01,2096253
10815 BUILDING LLC,Housing and utilities,2018-07-01,2082081
10815 BUILDING LLC,Housing and utilities,2018-04-01,2080192
10815 BUILDING LLC,Housing and utilities,2018-01-01,2071671
10815 BUILDING LLC,Housing and utilities,2017-10-01,2067647
10815 BUILDING LLC,Housing and utilities,2017-07-01,2052707
10815 BUILDING LLC,Housing and utilities,2017-04-01,2054145
10815 BUILDING LLC,Housing and utilities,2017-01-01,2036651
10815 BUILDING LLC,Housing and utilities,2016-10-01,2049002
10815 BUILDING LLC,Housing and utilities,2016-07-01,2056337
10815 BUILDING LLC,Housing and utilities,2016-04-01,2050422
10815 BUILDING LLC,Housing and utilities,2016-01-01,2041986
10815 BUILDING LLC,Housing and utilities,2015-10-01,2035352
10815 BUILDING LLC,Housing and utilities,2015-07-01,2039677
10815 BUILDING LLC,Housing and utilities,2015-04-01,2036207
10815 BUILDING LLC,Housing and utilities,2015-01-01,2047283
10815 BUILDING LLC,Housing and utilities,2014-10-01,2039362
10815 BUILDING LLC,Housing and utilities,2014-07-01,2028085
10815 BUILDING LLC,Housing and utilities,2014-04-01,2038119
10815 BUILDING LLC,Housing and utilities,2014-01-01,2051671
10815 BUILDING LLC,Housing and utilities,2013-10-01,2041145
10815 BUILDING LLC,Housing and utilities,2013-07-01,2027920
10815 BUILDING LLC,Housing and utilities,2013-04-01,2031788
10815 BUILDING LLC,Housing and utilities,2013-01-01,2033436
10815 BUILDING LLC,Housing and utilities,2012-10-01,2018556
10815 BUILDING LLC,Housing and utilities,2012-07-01,2024501
10815 BUILDING LLC,Housing and utilities,2012-04-01,2017045
10815 BUILDING LLC,Housing and utilities,2012-01-01,1998856
10815 BUILDING LLC,Housing and utilities,2011-10-01,2016832
10815 BUILDING LLC,Housing and utilities,2011-07-01,2025162
10815 BUILDING LLC,Housing and utilities,2011-04-01,2016894
10815 BUILDING LLC,Housing and utilities,2011-01-01,2017667
10815 BUILDING LLC,Housing and utilities,2010-10-01,2026720
10815 BUILDING LLC,Housing and utilities,2010-07-01,2018725
10815 BUILDING LLC,Housing and utilities,2010-04-01,2004937
10815 BUILDING LLC,Housing and utilities,2010-01-01,1994951
125 COMMERCE DRIVE LLC,Other durable goods,2022-01-01,348969
125 COMMERCE DRIVE LLC,Other durable goods,2021-10-01,346724
125 COMMERCE DRIVE LLC,Other durable goods,2021-07-01,336656
125 COMMERCE DRIVE LLC,Other durable goods,2021-04-01,332601
125 COMMERCE DRIVE LLC,Other durable goods,2021-01-01,316992
125 COMMERCE DRIVE LLC,Other durable goods,2020-10-01,285713
125 COMMERCE DRIVE LLC,Other durable goods,2020-07-01,276599
125 COMMERCE DRIVE LLC,Other durable goods,2020-04-01,196890
125 COMMERCE DRIVE LLC,Other durable goods,2020-01-01,248100
125 COMMERCE DRIVE LLC,Other durable goods,2019-10-01,258851
125 COMMERCE DRIVE LLC,Other durable goods,2019-07-01,257861
125 COMMERCE DRIVE LLC,Other durable goods,2019-04-01,252659
125 COMMERCE DRIVE LLC,Other durable goods,2019-01-01,252764
125 COMMERCE DRIVE LLC,Other durable goods,2018-10-01,249242
125 COMMERCE DRIVE LLC,Other durable goods,2018-07-01,244905
125 COMMERCE DRIVE LLC,Other durable goods,2018-04-01,244718
125 COMMERCE DRIVE LLC,Other durable goods,2018-01-01,239479
125 COMMERCE DRIVE LLC,Other durable goods,2017-10-01,237243
125 COMMERCE DRIVE LLC,Other durable goods,2017-07-01,235139
125 COMMERCE DRIVE LLC,Other durable goods,2017-04-01,228999
125 COMMERCE DRIVE LLC,Other durable goods,2017-01-01,227808
125 COMMERCE DRIVE LLC,Other durable goods,2016-10-01,227111
125 COMMERCE DRIVE LLC,Other durable goods,2016-07-01,226278
125 COMMERCE DRIVE LLC,Other durable goods,2016-04-01,224060
125 COMMERCE DRIVE LLC,Other durable goods,2016-01-01,225568
125 COMMERCE DRIVE LLC,Other durable goods,2015-10-01,226503
125 COMMERCE DRIVE LLC,Other durable goods,2015-07-01,224162
125 COMMERCE DRIVE LLC,Other durable goods,2015-04-01,221752
125 COMMERCE DRIVE LLC,Other durable goods,2015-01-01,217269
125 COMMERCE DRIVE LLC,Other durable goods,2014-10-01,213498
125 COMMERCE DRIVE LLC,Other durable goods,2014-07-01,208301
125 COMMERCE DRIVE LLC,Other durable goods,2014-04-01,204710
125 COMMERCE DRIVE LLC,Other durable goods,2014-01-01,199107
125 COMMERCE DRIVE LLC,Other durable goods,2013-10-01,196128
125 COMMERCE DRIVE LLC,Other durable goods,2013-07-01,189869
125 COMMERCE DRIVE LLC,Other durable goods,2013-04-01,188227
125 COMMERCE DRIVE LLC,Other durable goods,2013-01-01,188719
125 COMMERCE DRIVE LLC,Other durable goods,2012-10-01,185400
125 COMMERCE DRIVE LLC,Other durable goods,2012-07-01,183529
125 COMMERCE DRIVE LLC,Other durable goods,2012-04-01,179862
125 COMMERCE DRIVE LLC,Other durable goods,2012-01-01,178624
125 COMMERCE DRIVE LLC,Other durable goods,2011-10-01,174969
125 COMMERCE DRIVE LLC,Other durable goods,2011-07-01,176736
125 COMMERCE DRIVE LLC,Other durable goods,2011-04-01,174527
125 COMMERCE DRIVE LLC,Other durable goods,2011-01-01,172776
125 COMMERCE DRIVE LLC,Other durable goods,2010-10-01,171500
125 COMMERCE DRIVE LLC,Other durable goods,2010-07-01,168677
125 COMMERCE DRIVE LLC,Other durable goods,2010-04-01,166041
125 COMMERCE DRIVE LLC,Other durable goods,2010-01-01,165858
145 WEST 86TH STREET LLC,Housing and utilities,2022-01-01,2171075
145 WEST 86TH STREET LLC,Housing and utilities,2021-10-01,2152803
145 WEST 86TH STREET LLC,Housing and utilities,2021-07-01,2152520
145 WEST 86TH STREET LLC,Housing and utilities,2021-04-01,2143924
145 WEST 86TH STREET LLC,Housing and utilities,2021-01-01,2142439
145 WEST 86TH STREET LLC,Housing and utilities,2020-10-01,2132483
145 WEST 86TH STREET LLC,Housing and utilities,2020-07-01,2130740
145 WEST 86TH STREET LLC,Housing and utilities,2020-04-01,2128938
145 WEST 86TH STREET LLC,Housing and utilities,2020-01-01,2104891
145 WEST 86TH STREET LLC,Housing and utilities,2019-10-01,2111835
145 WEST 86TH STREET LLC,Housing and utilities,2019-07-01,2105859
145 WEST 86TH STREET LLC,Housing and utilities,2019-04-01,2095269
145 WEST 86TH STREET LLC,Housing and utilities,2019-01-01,2095944
145 WEST 86TH STREET LLC,Housing and utilities,2018-10-01,2096253
145 WEST 86TH STREET LLC,Housing and utilities,2018-07-01,2082081
145 WEST 86TH STREET LLC,Housing and utilities,2018-04-01,2080192
145 WEST 86TH STREET LLC,Housing and utilities,2018-01-01,2071671
145 WEST 86TH STREET LLC,Housing and utilities,2017-10-01,2067647
145 WEST 86TH STREET LLC,Housing and utilities,2017-07-01,2052707
145 WEST 86TH STREET LLC,Housing and utilities,2017-04-01,2054145
145 WEST 86TH STREET LLC,Housing and utilities,2017-01-01,2036651
145 WEST 86TH STREET LLC,Housing and utilities,2016-10-01,2049002
