first_date_of_quarter,client_name,country_code,industry_name_level_1,industry_name_level_2,industry_code,industry_name,NAICS 2 Digit,NAICS 3 Digit,NAICS 4 Digit,gdp_naics_2,gdp_naics_3,gdp_naics_4
2021-10-01,1-800-FLOWERS.COM INC,US,Not Assigned,Not Assigned,45311,Florists - DO NOT USE,45,453,4531,756.9,,
2021-10-01,10815 BUILDING LLC,US,Cons Retail & Health,Retailing & Services,53131,Real Estate Property Managers,53,531,5313,554.0,554.0,
2021-10-01,125 COMMERCE DRIVE LLC,US,Cons Retail & Health,Household & Personal Products,32561,Soap and Cleaning Compound Manufacturing,32,325,3256,99.8,476.0,
2021-10-01,145 WEST 86TH STREET LLC,US,Cons Retail & Health,Health Care Equipment & Services,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),53,531,5311,554.0,554.0,
2021-10-01,1485 BANCROFT LLC,US,Not Assigned,Not Assigned,32619,Other Plastics Product Manufacturing,32,326,3261,99.8,99.8,
2021-10-01,1770 CENTEREACH REALTY LLC,US,Not Assigned,Not Assigned,53119,Lessors of Other Real Estate Property,53,531,5311,554.0,554.0,
2021-10-01,1G4B LLC,US,Cons Retail & Health,Consumer Durables & Apparel,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,756.9,,
2021-10-01,21 EAST 87TH STREET LLC,US,Cons Retail & Health,Health Care Equipment & Services,53119,Lessors of Other Real Estate Property,53,531,5311,554.0,554.0,
2021-10-01,225 CROSSWAYS REALTY LLC,US,Not Assigned,Not Assigned,56132,Temporary Help Services,56,561,5613,810.0,743.5,
2021-10-01,25 HOFFMAN LANE LTD,US,Not Assigned,Not Assigned,31194,Seasoning and Dressing Manufacturing,31,311,3119,324.2,324.2,
2021-10-01,265 INDUSTRIAL WAY WEST EC LLC,US,Cons Retail & Health,Retailing & Services,53119,Lessors of Other Real Estate Property,53,531,5311,554.0,554.0,
2021-10-01,28 SOUTH TERMINAL DRIVE LLC,US,Cons Retail & Health,Health Care Equipment & Services,62151,Medical and Diagnostic Laboratories,62,621,6215,837.9,837.9,
2021-10-01,333 CROSSWAYS REALTY LLC,US,Not Assigned,Not Assigned,44611,Pharmacies and Drug Stores - DO NOT USE,44,446,4461,310.9,,
2021-10-01,366 VETERANS MEMORIAL HIGHWAY LLC,US,Cons Retail & Health,Health Care Equipment & Services,62111,Offices of Physicians,62,621,6211,837.9,837.9,
2021-10-01,4 SEASONS GLOBAL INC,US,Not Assigned,Not Assigned,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,42,423,4239,1444.6,,
2021-10-01,401 BUTLER LLC,US,Transp & Indust,Capital Goods,23622,Commercial and Institutional Building Construction,23,236,2362,991.9,,
2021-10-01,455 CONSTANCE LLC,US,Transp & Indust,Capital Goods,53111,Lessors of Residential Buildings and Dwellings,53,531,5311,554.0,554.0,
2021-10-01,49TH BROADWAY LLC,US,Cons Retail & Health,Retailing & Services,72251,Restaurants and Other Eating Places,72,722,7225,713.9,522.9,
2021-10-01,58 MAS LLC,US,Transp & Indust,Building Products & Related,53139,Other Activities Related to Real Estate,53,531,5313,554.0,554.0,
2021-10-01,801 PARKRIDGE LLC,US,Not Assigned,Not Assigned,45411,Electronic Shopping and Mail-Order Houses - DO NOT USE,45,454,4541,756.9,,
2021-10-01,88 RANCH LLC,US,Not Assigned,Not Assigned,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,46.4,,
2021-10-01,968 ROANOKE LLC,US,Cons Retail & Health,Health Care Equipment & Services,53119,Lessors of Other Real Estate Property,53,531,5311,554.0,554.0,
2021-10-01,A TO Z LIC HOLDINGS LLC,US,Real Estate,Commercial Real Estate,55111,Management of Companies and Enterprises,55,551,5511,435.7,,
2021-10-01,A&M ROSENTHAL ENTERPRISES INC,US,Not Assigned,Not Assigned,42433,Women's Children's and Infants' Clothing and Accessories Mer,42,424,4243,1444.6,,
2021-10-01,A+ PRODUCTS INC,US,Not Assigned,Not Assigned,33211,Forging and Stamping,33,332,3321,97.0,172.1,
2021-10-01,ABACUS DERMATOLOGY MANAGEMENT LLC,US,Cons Retail & Health,Health Care Equipment & Services,62111,Offices of Physicians,62,621,6211,837.9,837.9,
2021-10-01,ABARTA COCA-COLA BEVERAGES LLC,US,Not Assigned,Not Assigned,31211,Soft Drink and Ice Manufacturing,31,312,3121,324.2,,
2021-10-01,ACUPATH LABORATORIES INCORPORATED,US,Cons Retail & Health,Health Care Equipment & Services,62151,Medical and Diagnostic Laboratories,62,621,6215,837.9,837.9,
2021-10-01,ADMERA HEALTH LLC,US,Not Assigned,Not Assigned,62151,Medical and Diagnostic Laboratories,62,621,6215,837.9,837.9,
2021-10-01,ADORAMA INC,US,Cons Retail & Health,Retailing & Services,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,310.9,,
2021-10-01,AETNA INC,US,Insurance,Insurance,52411,Direct Life Health and Medical Insurance Carriers,52,524,5241,866.0,694.4,
2021-10-01,AETNA LIFE INSURANCE CO,US,Not Assigned,Not Assigned,52411,Direct Life Health and Medical Insurance Carriers,52,524,5241,866.0,694.4,
2021-10-01,AGILENT TECHNOLOGIES INC,US,Cons Retail & Health,Health Care Equipment & Services,42345,Medical Dental and Hospital Equipment and Supplies Merchant,42,423,4234,1444.6,,
2021-10-01,AGRI-DAIRY PRODUCTS INC,US,Not Assigned,Not Assigned,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,AIDEO TECHNOLOGIES LLC,US,Cons Retail & Health,Health Care Equipment & Services,54151,Computer Systems Design and Related Services,54,541,5415,405.8,405.8,405.8
2021-10-01,AIMANI INTERNATIONAL LTD,US,Not Assigned,Not Assigned,42446,Fish and Seafood Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,AJUBA INTERNATIONAL LLC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,810.0,743.5,
2021-10-01,ALADDIN BAKERS INC,US,Cons Retail & Health,Retailing & Services,31181,Bread and Bakery Product Manufacturing,31,311,3118,324.2,324.2,
2021-10-01,ALAMEDA SURGERY CENTER LP,US,Cons Retail & Health,Health Care Equipment & Services,62149,Other Outpatient Care Centers,62,621,6214,837.9,837.9,
2021-10-01,ALIGN TECHNOLOGY INC,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,ALIGNMENT HEALTHCARE USA LLC,US,Banks/BrokerDealers,Finance Companies - Direct,54161,Management Consulting Services,54,541,5416,405.8,405.8,
2021-10-01,ALLAQUARIA LLC,US,Not Assigned,Not Assigned,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,42,424,4249,1444.6,,
2021-10-01,ALLERGAN INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,ALLIED PHYSICIANS GROUP PLLC,US,Not Assigned,Not Assigned,62111,Offices of Physicians,62,621,6211,837.9,837.9,
2021-10-01,ALPA LAUNDRY SERVICES LLC,US,Not Assigned,Not Assigned,81149,Other Personal and Household Goods Repair and Maintenance,81,811,8114,467.9,,
2021-10-01,ALPHAMED BOTTLES INC,US,Cons Retail & Health,Household & Personal Products,32616,Plastics Bottle Manufacturing,32,326,3261,99.8,99.8,
2021-10-01,ALPHAMED REALTY LLC,US,Cons Retail & Health,Household & Personal Products,32616,Plastics Bottle Manufacturing,32,326,3261,99.8,99.8,
2021-10-01,ALWAYS ADVANCING MANUFACTURING & PROMOTIONS LLC,US,Tech Media Telecom,Technology,54189,Other Services Related to Advertising,54,541,5418,405.8,405.8,
2021-10-01,AMA2 LLC,US,Not Assigned,Not Assigned,42446,Fish and Seafood Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,AMERICAN DIAGNOSTIC CORP,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,AMERICAN FASHION ACCESSORIES INC,US,Not Assigned,Not Assigned,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,756.9,,
2021-10-01,AMERICAN PAVING CO,US,Not Assigned,Not Assigned,23731,Highway Street and Bridge Construction,23,237,2373,991.9,,
2021-10-01,AMERICAN REGENT INC,US,Not Assigned,Not Assigned,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,AMERICAN TRADING INTERNATIONAL INC,US,Not Assigned,Not Assigned,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,42,423,4239,1444.6,,
2021-10-01,AMGEN INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,AMICK FARMS LLC,US,Cons Retail & Health,Retailing & Services,11232,Broilers and Other Meat Type Chicken Production,11,112,1123,46.4,,
2021-10-01,AMNEAL PHARMACEUTICALS LLC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,ANESTHESIA BUSINESS CONSULTANTS INC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,810.0,743.5,
2021-10-01,ANESTHESIA BUSINESS CONSULTANTS LLC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,810.0,743.5,
2021-10-01,ANKER RANCH LLC,US,Not Assigned,Not Assigned,11132,Citrus (except Orange) Groves,11,111,1113,46.4,,
2021-10-01,APPLIED MEDICAL DISTRIBUTION CORP,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,APPLIED MEDICAL RESOURCES CORP,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,AR FORTUNE INC,US,Cons Retail & Health,Retailing & Services,54161,Management Consulting Services,54,541,5416,405.8,405.8,
2021-10-01,ARGEE AMERICA INC,US,Cons Retail & Health,Consumer Durables & Apparel,42433,Women's Children's and Infants' Clothing and Accessories Mer,42,424,4243,1444.6,,
2021-10-01,ARIZONA INTERNATIONAL LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31211,Soft Drink and Ice Manufacturing,31,312,3121,324.2,,
2021-10-01,ASANA BIOSCIENCES LLC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,ATAI LIFE SCIENCES US INC,US,Cons Retail & Health,Health Care Equipment & Services,54171,Research and Development in the Physical Engineering and Lif,54,541,5417,405.8,405.8,
2021-10-01,ATALANTA CORP,US,Cons Retail & Health,Retailing & Services,42441,General Line Grocery Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,AUDCONNEX LLC,US,Not Assigned,Not Assigned,81121,Electronic and Precision Equipment Repair and Maintenance,81,811,8112,467.9,,
2021-10-01,AVANOS MEDICAL INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,AVON PRODUCTS INC,US,Cons Retail & Health,Household & Personal Products,32562,Toilet Preparation Manufacturing,32,325,3256,99.8,476.0,
2021-10-01,B&D SEAFOODS INC,US,Not Assigned,Not Assigned,42446,Fish and Seafood Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,B&R SALVAGE OF NEW YORK INC,US,Not Assigned,Not Assigned,45331,Used Merchandise Stores - DO NOT USE,45,453,4533,756.9,,
2021-10-01,BACTOLAC PHARMACEUTICAL INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,BAKCO BAKERY LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31181,Bread and Bakery Product Manufacturing,31,311,3118,324.2,324.2,
2021-10-01,BAKER FARMING CO LLC,US,Cons Retail & Health,Food Beverage & Tobacco,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,46.4,,
2021-10-01,BANCROFT GLOBAL DEVELOPMENT,US,Cons Retail & Health,Retailing & Services,81341,Civic and Social Organizations,81,813,8134,467.9,,
2021-10-01,BARILLA AMERICA INC,US,Cons Retail & Health,Retailing & Services,31182,Cookie Cracker and Pasta Manufacturing,31,311,3118,324.2,324.2,
2021-10-01,BARNELL REALTY,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,310.9,,
2021-10-01,BAUSCH & LOMB INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,BAUSCH + LOMB CORP,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,BAXTER SALES & DISTRIBUTION LLC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,BCBMM LLC,US,Not Assigned,Not Assigned,53119,Lessors of Other Real Estate Property,53,531,5311,554.0,554.0,
2021-10-01,BEANCUBE INC,US,Cons Retail & Health,Consumer Durables & Apparel,54161,Management Consulting Services,54,541,5416,405.8,405.8,
2021-10-01,BEAR CANYON FARMS INC,US,Not Assigned,Not Assigned,11199,All Other Crop Farming,11,111,1119,46.4,,
2021-10-01,BECTON DICKINSON & CO,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,BELLPORT FORTUNE LLC,US,Cons Retail & Health,Retailing & Services,53139,Other Activities Related to Real Estate,53,531,5313,554.0,554.0,
2021-10-01,BENEFIT COSMETICS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,42421,Drugs and Druggists' Sundries Merchant Wholesalers,42,424,4242,1444.6,,
2021-10-01,BENFAY BAKERY LLC,US,Cons Retail & Health,Retailing & Services,31181,Bread and Bakery Product Manufacturing,31,311,3118,324.2,324.2,
2021-10-01,BENVA BAKERY LLC,US,Cons Retail & Health,Retailing & Services,31181,Bread and Bakery Product Manufacturing,31,311,3118,324.2,324.2,
2021-10-01,BERNARD NACHT & CO INC,US,Not Assigned,Not Assigned,42394,Jewelry Watch Precious Stone and Precious Metal Merchant Who,42,423,4239,1444.6,,
2021-10-01,BERWIN INC,US,Not Assigned,Not Assigned,44211,Furniture Stores - DO NOT USE,44,442,4421,310.9,,
2021-10-01,BEST SILVER INC,US,Not Assigned,Not Assigned,44815,Clothing Accessories Stores - DO NOT USE,44,448,4481,310.9,,
2021-10-01,BEST VALUE FOOD PRODUCTS LLC,US,Not Assigned,Not Assigned,42449,Other Grocery and Related Products Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,BEVERAGE MARKETING USA INC,US,Cons Retail & Health,Food Beverage & Tobacco,31211,Soft Drink and Ice Manufacturing,31,312,3121,324.2,,
2021-10-01,BEVERLY GLEN LABORATORIES INC,US,Not Assigned,Not Assigned,32562,Toilet Preparation Manufacturing,32,325,3256,99.8,476.0,
2021-10-01,BEYOND INC,US,Not Assigned,Not Assigned,42433,Women's Children's and Infants' Clothing and Accessories Mer,42,424,4243,1444.6,,
2021-10-01,BIO-NUTRITIONAL RESEARCH GROUP INC,US,Not Assigned,Not Assigned,31151,Dairy Product (except Frozen) Manufacturing,31,311,3115,324.2,324.2,
2021-10-01,BIO-RAD LABORATORIES INC,US,Cons Retail & Health,Health Care Equipment & Services,33451,Navigational Measuring Electromedical and Control Instrument,33,334,3345,97.0,338.3,
2021-10-01,BIO-TECHNE CORP,US,Not Assigned,Not Assigned,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,BIOMARIN PHARMACEUTICAL INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,BIOMET INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,BLUE DONUTS REALTY LLC,US,Real Estate,Commercial Real Estate,53139,Other Activities Related to Real Estate,53,531,5313,554.0,554.0,
2021-10-01,BOMAN HOLDING LLC,US,Not Assigned,Not Assigned,42322,Home Furnishing Merchant Wholesalers,42,423,4232,1444.6,,
2021-10-01,BOSTON SCIENTIFIC CORP,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,BPL PLASMA INC,US,Not Assigned,Not Assigned,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,BRAINCARE LLC,US,Cons Retail & Health,Health Care Equipment & Services,62199,All Other Ambulatory Health Care Services,62,621,6219,837.9,837.9,
2021-10-01,BRANDT INC,US,Power Chemicals Metals & Mining,Chemicals,32531,Fertilizer and Compost Manufacturing,32,325,3253,99.8,476.0,
2021-10-01,BRIGHTREE LLC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,BRISTOL-MYERS SQUIBB INTERNATIONAL CORP,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,BROTHERS MAIL ORDER INDUSTRIES INC,US,Not Assigned,Not Assigned,45411,Electronic Shopping and Mail-Order Houses - DO NOT USE,45,454,4541,756.9,,
2021-10-01,BROWN-FORMAN CORP,US,Cons Retail & Health,Food Beverage & Tobacco,31214,Distilleries,31,312,3121,324.2,,
2021-10-01,BULGARI CORP OF AMERICA,US,Cons Retail & Health,Consumer Durables & Apparel,33991,Jewelry and Silverware Manufacturing,33,339,3399,97.0,113.1,
2021-10-01,BUTOKUDEN INC,US,Cons Retail & Health,Consumer Durables & Apparel,71399,All Other Amusement and Recreation Industries,71,713,7139,95.6,95.6,
2021-10-01,CALAVO GROWERS INC,US,Not Assigned,Not Assigned,42448,Fresh Fruit and Vegetable Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,CALPHIN SWIM ACADEMY,US,Not Assigned,Not Assigned,71394,Fitness and Recreational Sports Centers,71,713,7139,95.6,95.6,
2021-10-01,CAMELOT STADIUM LLC,US,Cons Retail & Health,Retailing & Services,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),53,531,5311,554.0,554.0,
2021-10-01,CAMLIN REALTY LLC,US,Not Assigned,Not Assigned,53121,Offices of Real Estate Agents and Brokers,53,531,5312,554.0,554.0,
2021-10-01,CARGILL INC,US,Cons Retail & Health,Food Beverage & Tobacco,31199,All Other Food Manufacturing,31,311,3119,324.2,324.2,
