payment_month,physician_type,state_code,total_amount
2012-12-01,Doctor of Dentistry,AZ,24.41
2012-12-01,Doctor of Dentistry,US,24.41
2013-12-01,Doctor of Dentistry,FL,28024.56
2013-12-01,Doctor of Dentistry,US,28024.56
2014-11-01,Doctor of Dentistry,US,5.27
2014-11-01,Doctor of Dentistry,VA,5.27
2014-12-01,Doctor of Dentistry,AZ,12.66
2014-12-01,Doctor of Dentistry,US,12.66
2015-01-01,Doctor of Dentistry,AE,82.0
2015-01-01,Doctor of Dentistry,AK,2285.59
2015-01-01,Doctor of Dentistry,AL,21492.71
2015-01-01,Doctor of Dentistry,AP,18.49
2015-01-01,Doctor of Dentistry,AR,31322.14
2015-01-01,Doctor of Dentistry,AZ,179691.00999999998
2015-01-01,Doctor of Dentistry,CA,1375297.82
2015-01-01,Doctor of Dentistry,CO,79838.56
2015-01-01,Doctor of Dentistry,CT,127429.5
2015-01-01,Doctor of Dentistry,DC,18586.260000000002
2015-01-01,Doctor of Dentistry,DE,1951.76
2015-01-01,Doctor of Dentistry,FL,459931.68
2015-01-01,Doctor of Dentistry,GA,258780.2
2015-01-01,Doctor of Dentistry,HI,8773.81
2015-01-01,Doctor of Dentistry,IA,61041.37
2015-01-01,Doctor of Dentistry,ID,9905.24
2015-01-01,Doctor of Dentistry,IL,206193.56
2015-01-01,Doctor of Dentistry,IN,45821.22
2015-01-01,Doctor of Dentistry,KS,28370.83
2015-01-01,Doctor of Dentistry,KY,29293.74
2015-01-01,Doctor of Dentistry,LA,137421.27
2015-01-01,Doctor of Dentistry,MA,192235.39
2015-01-01,Doctor of Dentistry,MD,164079.76
2015-01-01,Doctor of Dentistry,ME,1876.99
2015-01-01,Doctor of Dentistry,MI,231126.33
2015-01-01,Doctor of Dentistry,MN,60484.0
2015-01-01,Doctor of Dentistry,MO,66397.93
2015-01-01,Doctor of Dentistry,MS,14407.17
2015-01-01,Doctor of Dentistry,MT,5161.4
2015-01-01,Doctor of Dentistry,NC,129956.18
2015-01-01,Doctor of Dentistry,ND,3129.71
2015-01-01,Doctor of Dentistry,NE,8264.92
2015-01-01,Doctor of Dentistry,NH,19470.54
2015-01-01,Doctor of Dentistry,NJ,137517.95
2015-01-01,Doctor of Dentistry,NM,10025.95
2015-01-01,Doctor of Dentistry,NV,19151.9
2015-01-01,Doctor of Dentistry,NY,440238.84
2015-01-01,Doctor of Dentistry,OH,60311.11
2015-01-01,Doctor of Dentistry,OK,17059.13
2015-01-01,Doctor of Dentistry,OR,100765.75
2015-01-01,Doctor of Dentistry,PA,117961.73
2015-01-01,Doctor of Dentistry,PR,342.89
2015-01-01,Doctor of Dentistry,RI,9113.7
2015-01-01,Doctor of Dentistry,SC,56335.13
2015-01-01,Doctor of Dentistry,SD,1949.51
2015-01-01,Doctor of Dentistry,TN,55557.17
2015-01-01,Doctor of Dentistry,TX,275110.97
2015-01-01,Doctor of Dentistry,US,5934430.11
2015-01-01,Doctor of Dentistry,UT,105310.38
2015-01-01,Doctor of Dentistry,VA,150774.46
2015-01-01,Doctor of Dentistry,VT,850.32
2015-01-01,Doctor of Dentistry,WA,96595.83
2015-01-01,Doctor of Dentistry,WI,279099.04
2015-01-01,Doctor of Dentistry,WV,19754.91
2015-01-01,Doctor of Dentistry,WY,484.36
2015-02-01,Doctor of Dentistry,AA,26.91
2015-02-01,Doctor of Dentistry,AK,16759.18
2015-02-01,Doctor of Dentistry,AL,24145.61
2015-02-01,Doctor of Dentistry,AP,31.08
2015-02-01,Doctor of Dentistry,AR,29902.2
2015-02-01,Doctor of Dentistry,AZ,129893.59
2015-02-01,Doctor of Dentistry,CA,2352007.4
2015-02-01,Doctor of Dentistry,CO,144102.74
2015-02-01,Doctor of Dentistry,CT,87442.45
2015-02-01,Doctor of Dentistry,DC,5005.17
