year,state_code,state_name,measure_id,measure_short_desc,measure_desc,total_population,value
2013,AK,Alaska,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,291826,30.199999999999996
2013,AK,Alaska,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,291826,49.0
2013,AK,Alaska,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,291826,70.2
2013,AK,Alaska,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,291826,32.9
2013,AL,Alabama,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,965304,40.73088819687891
2013,AL,Alabama,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,965304,68.83605444502457
2013,AL,Alabama,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,965304,74.86234139711426
2013,AL,Alabama,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,965304,36.51449760904337
2013,AR,Arkansas,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,490373,36.12229996349718
2013,AR,Arkansas,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,490373,64.5545488842167
2013,AR,Arkansas,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,490373,70.5825290136284
2013,AR,Arkansas,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,490373,34.72881378053033
2013,AZ,Arizona,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,3896074,28.087172497236963
2013,AZ,Arizona,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,3896074,55.95897452153117
2013,AZ,Arizona,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,3896074,70.76094984335512
2013,AZ,Arizona,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,3896074,34.00495023965151
2013,CA,California,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,22367518,28.19154141733562
2013,CA,California,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,22367518,52.15918591414568
2013,CA,California,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,22367518,73.42759543101742
2013,CA,California,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,22367518,33.07694122790021
2013,CO,Colorado,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,2510323,26.32756294707892
2013,CO,Colorado,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,2510323,52.44249106589072
2013,CO,Colorado,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,2510323,73.64586553204508
2013,CO,Colorado,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2510323,30.982822728389934
2013,CT,Connecticut,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,871494,33.17866124150023
2013,CT,Connecticut,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,871494,60.06224162185855
2013,CT,Connecticut,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,871494,76.55355389710084
2013,CT,Connecticut,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,871494,32.61818394618896
2013,DC,District of C,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,601723,31.199999999999996
2013,DC,District of C,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,601723,59.3
2013,DC,District of C,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,601723,80.0
2013,DC,District of C,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,601723,32.4
2013,DE,Delaware,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,70851,39.4
2013,DE,Delaware,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,70851,68.5
2013,DE,Delaware,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,70851,75.5
2013,DE,Delaware,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,70851,34.2
2013,FL,Florida,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,5166487,31.83501303690496
2013,FL,Florida,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,5166487,62.12862738259091
2013,FL,Florida,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,5166487,75.20231106746228
2013,FL,Florida,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,5166487,34.08613349844875
2013,GA,Georgia,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1551770,36.957375448681184
2013,GA,Georgia,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1551770,64.64671529930337
2013,GA,Georgia,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1551770,76.49779864284011
2013,GA,Georgia,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1551770,33.432685513961474
2013,HI,Hawaii,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,953207,26.4
2013,HI,Hawaii,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,953207,57.4
2013,HI,Hawaii,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,953207,71.6
2013,HI,Hawaii,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,953207,30.2
2013,IA,Iowa,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,648396,29.685773971461888
2013,IA,Iowa,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,648396,60.54901001856891
2013,IA,Iowa,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,648396,73.49872192302236
2013,IA,Iowa,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,648396,35.33185753767759
2013,ID,Idaho,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,362320,28.092330536542285
2013,ID,Idaho,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,362320,52.63937127401192
2013,ID,Idaho,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,362320,69.40808567012586
2013,ID,Idaho,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,362320,32.239192150585126
2013,IL,Illinois,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,4447592,30.72964613210924
2013,IL,Illinois,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,4447592,61.860561760161445
2013,IL,Illinois,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,4447592,72.35559826530852
2013,IL,Illinois,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,4447592,31.89846011054971
2013,IN,Indiana,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1827472,33.411997995044516
2013,IN,Indiana,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1827472,63.904358644072246
2013,IN,Indiana,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1827472,71.99332137510179
2013,IN,Indiana,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1827472,33.77033163846012
2013,KS,Kansas,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1042514,30.603825751980306
2013,KS,Kansas,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1042514,60.94122783962614
2013,KS,Kansas,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1042514,72.3507517405042
2013,KS,Kansas,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1042514,32.9379228480385
2013,KY,Kentucky,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,893140,35.531194437602174
2013,KY,Kentucky,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,893140,66.10705835591284
