naics_code,year,month,value,industry_name
924126,2022,03,157.330,National Security
8113--,2022,03,163.707,Commercial machinery repair and maintenance
721---,2022,03,191.056,Accommodation
71394-,2022,03,109.743,Fitness and Recreational Sports Centers
71391-,2022,03,146.437,All Other Amusement and Recreation Industries
62311-,2022,03,164.412,Nursing Care Facilities (Skilled Nursing Facilities)
62231-,2022,03,164.760,Specialty (except Psychiatric and Substance Abuse) Hospitals
62211-,2022,03,160.679,General Medical and Surgical Hospitals
62199-,2022,03,123.753,All Other Ambulatory Health Care Services
62151-,2022,03,103.769,Medical and Diagnostic Laboratories
62121-,2022,03,126.881,Offices of Dentists
62111-,2022,03,143.041,Offices of Physicians
6211--,2022,03,143.041,Offices of physicians
56172-,2022,03,133.089,Landscaping Services
561612,2022,03,142.415,Security Systems Services
56151-,2022,03,97.785,Tour Operators
5613--,2022,03,157.170,Employment services
54181-,2022,03,122.001,Other Services Related to Advertising
54161-,2022,03,129.194,Management Consulting Services
5413--,2022,03,180.837,Testing Laboratories and Services
5411--,2022,03,253.993,Legal services
53131-,2022,03,125.536,Other Activities Related to Real Estate
53131-,2022,03,125.536,Real Estate Property Managers
53121-,2022,03,180.262,Offices of Real Estate Agents and Brokers
53112-,2022,03,130.262,Lessors of Nonresidential Buildings (except Miniwarehouses)
53112-,2022,03,130.262,Lessors of Other Real Estate Property
53112-,2022,03,130.262,Lessors of Residential Buildings and Dwellings
53112-,2022,03,130.262,Lessors of Nonfinancial Intangible Assets (except Copyrighte
52421-,2022,03,113.202,Other Insurance Related Activities
52411-,2022,03,151.003,Direct Life Health and Medical Insurance Carriers
5221--,2022,03,100.126,Trusts Estates and Agency Accounts
51121-,2022,03,92.956,Software Publishers - DO NOT USE
511---,2022,03,120.150,Record Production and Distribution
48851-,2022,03,152.989,Freight Transportation Arrangement
45431-,2022,03,272.060,Other Direct Selling Establishments - DO NOT USE
45431-,2022,03,272.060,Fuel Dealers - DO NOT USE
454110,2022,03,128.109,Electronic Shopping and Mail-Order Houses - DO NOT USE
45112-,2022,03,82.138,Hobby Toy and Game Stores - DO NOT USE
45111-,2022,03,168.339,Sporting Goods Stores - DO NOT USE
44831-,2022,03,184.312,Jewelry Stores - DO NOT USE
4481--,2022,03,138.232,Clothing stores
4471--,2022,03,172.176,Gasoline Stations with Convenience Stores - DO NOT USE
44611-,2022,03,176.108,Pharmacies and Drug Stores - DO NOT USE
4461--,2022,03,149.620,Cosmetics Beauty Supplies and Perfume Stores - DO NOT USE
4452--,2022,03,207.213,Other Specialty Food Retailers
44511-,2022,03,193.022,Supermarkets and Other Grocery Retailers (except Convenience
4441--,2022,03,243.432,Other Building Material Dealers - DO NOT USE
4431--,2022,03,87.115,Electronics and Appliance Stores - DO NOT USE
44221-,2022,03,196.335,Floor Covering Stores - DO NOT USE
44211-,2022,03,207.577,Furniture Stores - DO NOT USE
44131-,2022,03,227.854,Automotive Parts and Accessories Stores - DO NOT USE
4249--,2022,03,117.141,Miscellaneous nondurable goods merchant wholesalers
4248--,2022,03,109.619,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
4247--,2022,03,115.809,Petroleum and Petroleum Products Merchant Wholesalers (excep
4244--,2022,03,109.653,Grocery and related product merchant wholesalers
4243--,2022,03,92.145,Apparel and piece goods merchant wholesalers
4242--,2022,03,101.662,Drugs and Druggists' Sundries Merchant Wholesalers
4239--,2022,03,131.537,Miscellaneous durable goods merchant wholesalers (except materials recyclers)
4238--,2022,03,116.248,"Machinery, equipment, and supplies merchant wholesalers"
4236--,2022,03,140.812,Household appliances and electrical and electronic goods merchant wholesalers
4234--,2022,03,111.661,Professional and commercial equipment and supplies merchant wholesalers
4233--,2022,03,154.756,Lumber and other construction materials merchant wholesalers
4232--,2022,03,135.066,Furniture and home furnishing merchant wholesalers
4231--,2022,03,135.503,Motor Vehicle Supplies and New Parts Merchant Wholesalers
33999-,2022,03,154.559,All Other Miscellaneous Manufacturing
33995-,2022,03,145.162,Sign Manufacturing
33992-,2022,03,137.919,Sporting and Athletic Goods Manufacturing
33991-,2022,03,247.500,Jewelry and Silverware Manufacturing
33911-,2022,03,126.465,Medical Equipment and Supplies Manufacturing
33791-,2022,03,174.046,Mattress Manufacturing
33712-,2022,03,171.872,Household and Institutional Furniture Manufacturing
33599-,2022,03,157.729,All Other Electrical Equipment and Component Manufacturing
33591-,2022,03,182.809,Battery Manufacturing
33512-,2022,03,156.180,Lighting Fixture Manufacturing - DO NOT USE
33511-,2022,03,81.602,Electric Lamp Bulb and Part Manufacturing - DO NOT USE
33451-,2022,03,135.523,Navigational Measuring Electromedical and Control Instrument
33221-,2022,03,151.903,Cutlery and Handtool Manufacturing
33211-,2022,03,189.324,Forging and Stamping
32619-,2022,03,174.644,Other Plastics Product Manufacturing
32616-,2022,03,143.702,Plastics Bottle Manufacturing
32599-,2022,03,165.276,All Other Chemical Product and Preparation Manufacturing
32562-,2022,03,123.534,Toilet Preparation Manufacturing
