month,client_name,country_code,industry_name_level_1,industry_name_level_2,industry_code,industry_name,NAICS 2 Digit,NAICS 3 Digit,NAICS 4 Digit,inventory_naics_3,inventory_naics_4,inventory_naics_5
2022-03-01,ADORAMA INC,US,Cons Retail & Health,Retailing & Services,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,32434.0,,
2022-03-01,BARNELL REALTY,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,32434.0,,
2022-03-01,BERWIN INC,US,Not Assigned,Not Assigned,44211,Furniture Stores - DO NOT USE,44,442,4421,32434.0,,
2022-03-01,BEST SILVER INC,US,Not Assigned,Not Assigned,44815,Clothing Accessories Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,CELINE INC,US,Cons Retail & Health,Consumer Durables & Apparel,44832,Luggage and Leather Goods Stores - DO NOT USE,44,448,4483,53385.0,,
2022-03-01,CHIPOTLE MEXICAN GRILL INC,US,Not Assigned,Not Assigned,44529,Other Specialty Food Retailers,44,445,4452,58887.0,,
2022-03-01,COCO 1215 REALTY LLC,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,32434.0,,
2022-03-01,CRAVINGS COMPS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,32434.0,,
2022-03-01,EAGLE COMMERCIAL REAL ESTATE LLC,US,Not Assigned,Not Assigned,44221,Floor Covering Stores - DO NOT USE,44,442,4422,32434.0,,
2022-03-01,EAGLE FLOORING SOLUTIONS INC,US,Not Assigned,Not Assigned,44221,Floor Covering Stores - DO NOT USE,44,442,4422,32434.0,,
2022-03-01,FCR STATEN ISLAND LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44211,Furniture Stores - DO NOT USE,44,442,4421,32434.0,,
2022-03-01,FCR WOODBRIDGE LLC,US,Cons Retail & Health,Retailing & Services,44211,Furniture Stores - DO NOT USE,44,442,4421,32434.0,,
2022-03-01,FENDI NORTH AMERICA INC,US,Cons Retail & Health,Consumer Durables & Apparel,44819,Other Clothing Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,FURNITURE CONCEPTS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44211,Furniture Stores - DO NOT USE,44,442,4421,32434.0,,
2022-03-01,GREENLAWN ROYALTY INDUSTRIES CORP,US,Cons Retail & Health,Retailing & Services,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,58887.0,,
2022-03-01,H MART INC,US,Not Assigned,Not Assigned,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,58887.0,,
2022-03-01,HEPHAISTOS BUILDING SUPPLIES INC,US,Not Assigned,Not Assigned,44419,Other Building Material Dealers - DO NOT USE,44,444,4441,78325.0,,
2022-03-01,J&S KIDSWEAR INC,US,Cons Retail & Health,Retailing & Services,44813,Children's and Infants' Clothing Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,JAMARI CALIFORNIA INC,US,Cons Retail & Health,Consumer Durables & Apparel,44819,Other Clothing Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,KING KULLEN GROCERY COMPANY INC,US,Not Assigned,Not Assigned,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,58887.0,,
2022-03-01,LA FABRICA LLC,US,Not Assigned,Not Assigned,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,58887.0,,
2022-03-01,MEXICO FOODS LLC,US,Not Assigned,Not Assigned,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,58887.0,,
2022-03-01,MICHAEL KORS (USA) INC,US,Not Assigned,Not Assigned,44812,Women's Clothing Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,ORIENTAL LUMBER INC,US,Transp & Indust,Building Products & Related,44419,Other Building Material Dealers - DO NOT USE,44,444,4441,78325.0,,
2022-03-01,RAYMOURS FURNITURE CO INC,US,Not Assigned,Not Assigned,44211,Furniture Stores - DO NOT USE,44,442,4421,32434.0,,
2022-03-01,SPEARMINT VENTURES LLC,US,Cons Retail & Health,Retailing & Services,44819,Other Clothing Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,UNITED PACIFIC INDUSTRIES INC,US,Not Assigned,Not Assigned,44131,Automotive Parts and Accessories Stores - DO NOT USE,44,441,4413,170804.0,,
2022-03-01,VALLETTI REALTY LLC,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,32434.0,,
2022-03-01,VICTORIAS SECRET INTERNATIONAL CORP,US,Cons Retail & Health,Retailing & Services,44815,Clothing Accessories Stores - DO NOT USE,44,448,4481,53385.0,,
2022-03-01,WATCHES OF SWITZERLAND LLC,US,Cons Retail & Health,Retailing & Services,44831,Jewelry Stores - DO NOT USE,44,448,4483,53385.0,,
2022-03-01,WESTSIDE SUPERMARKET OF HUNTINGTON LTD,US,Cons Retail & Health,Retailing & Services,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,58887.0,,
2022-02-01,ADORAMA INC,US,Cons Retail & Health,Retailing & Services,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,30813.0,,
2022-02-01,BARNELL REALTY,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,30813.0,,
2022-02-01,BERWIN INC,US,Not Assigned,Not Assigned,44211,Furniture Stores - DO NOT USE,44,442,4421,30813.0,,
2022-02-01,BEST SILVER INC,US,Not Assigned,Not Assigned,44815,Clothing Accessories Stores - DO NOT USE,44,448,4481,51291.0,,
2022-02-01,CELINE INC,US,Cons Retail & Health,Consumer Durables & Apparel,44832,Luggage and Leather Goods Stores - DO NOT USE,44,448,4483,51291.0,,
2022-02-01,CHIPOTLE MEXICAN GRILL INC,US,Not Assigned,Not Assigned,44529,Other Specialty Food Retailers,44,445,4452,57727.0,,
2022-02-01,COCO 1215 REALTY LLC,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,30813.0,,
