month,client_name,country_code,industry_name_level_1,industry_name_level_2,industry_code,industry_name,NAICS 2 Digit,NAICS 3 Digit,NAICS 4 Digit,sales_naics_3,sales_naics_4,sales_naics_5
2022-03-01,1-800-FLOWERS.COM INC,US,Not Assigned,Not Assigned,45311,Florists - DO NOT USE,45,453,4531,15342.0,,
2022-03-01,1G4B LLC,US,Cons Retail & Health,Consumer Durables & Apparel,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,15342.0,,
2022-03-01,333 CROSSWAYS REALTY LLC,US,Not Assigned,Not Assigned,44611,Pharmacies and Drug Stores - DO NOT USE,44,446,4461,32753.0,27033.0,27033.0
2022-03-01,49TH BROADWAY LLC,US,Cons Retail & Health,Retailing & Services,72251,Restaurants and Other Eating Places,72,722,7225,82098.0,,
2022-03-01,801 PARKRIDGE LLC,US,Not Assigned,Not Assigned,45411,Electronic Shopping and Mail-Order Houses - DO NOT USE,45,454,4541,104528.0,94319.0,
2022-03-01,ADORAMA INC,US,Cons Retail & Health,Retailing & Services,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,7717.0,,
2022-03-01,AMERICAN FASHION ACCESSORIES INC,US,Not Assigned,Not Assigned,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,15342.0,,
2022-03-01,B&R SALVAGE OF NEW YORK INC,US,Not Assigned,Not Assigned,45331,Used Merchandise Stores - DO NOT USE,45,453,4533,15342.0,,
2022-03-01,BARNELL REALTY,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,12094.0,,
2022-03-01,BERWIN INC,US,Not Assigned,Not Assigned,44211,Furniture Stores - DO NOT USE,44,442,4421,12094.0,,
2022-03-01,BEST SILVER INC,US,Not Assigned,Not Assigned,44815,Clothing Accessories Stores - DO NOT USE,44,448,4481,26001.0,17456.0,
2022-03-01,BROTHERS MAIL ORDER INDUSTRIES INC,US,Not Assigned,Not Assigned,45411,Electronic Shopping and Mail-Order Houses - DO NOT USE,45,454,4541,104528.0,94319.0,
2022-03-01,CELINE INC,US,Cons Retail & Health,Consumer Durables & Apparel,44832,Luggage and Leather Goods Stores - DO NOT USE,44,448,4483,26001.0,,
2022-03-01,CHIPOTLE MEXICAN GRILL INC,US,Not Assigned,Not Assigned,44529,Other Specialty Food Retailers,44,445,4452,77152.0,,
2022-03-01,COCO 1215 REALTY LLC,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,12094.0,,
2022-03-01,CRAVINGS COMPS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,7717.0,,
2022-03-01,DINE BRANDS GLOBAL INC,US,Cons Retail & Health,Retailing & Services,72251,Restaurants and Other Eating Places,72,722,7225,82098.0,,
2022-03-01,DOJO 17 LLC,US,Cons Retail & Health,Consumer Durables & Apparel,45111,Sporting Goods Stores - DO NOT USE,45,451,4511,8966.0,,
2022-03-01,E-BOGU.COM INC,US,Cons Retail & Health,Consumer Durables & Apparel,45111,Sporting Goods Stores - DO NOT USE,45,451,4511,8966.0,,
2022-03-01,EAGLE COMMERCIAL REAL ESTATE LLC,US,Not Assigned,Not Assigned,44221,Floor Covering Stores - DO NOT USE,44,442,4422,12094.0,,
2022-03-01,EAGLE FLOORING SOLUTIONS INC,US,Not Assigned,Not Assigned,44221,Floor Covering Stores - DO NOT USE,44,442,4422,12094.0,,
2022-03-01,FARMACY BEAUTY LLC,US,Cons Retail & Health,Retailing & Services,44612,Cosmetics Beauty Supplies and Perfume Stores - DO NOT USE,44,446,4461,32753.0,27033.0,
2022-03-01,FCR STATEN ISLAND LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44211,Furniture Stores - DO NOT USE,44,442,4421,12094.0,,
2022-03-01,FCR WOODBRIDGE LLC,US,Cons Retail & Health,Retailing & Services,44211,Furniture Stores - DO NOT USE,44,442,4421,12094.0,,
2022-03-01,FENDI NORTH AMERICA INC,US,Cons Retail & Health,Consumer Durables & Apparel,44819,Other Clothing Stores - DO NOT USE,44,448,4481,26001.0,17456.0,
2022-03-01,FIKES WHOLESALE INC,US,Not Assigned,Not Assigned,44711,Gasoline Stations with Convenience Stores - DO NOT USE,44,447,4471,64025.0,,
2022-03-01,FLOWER TECH CENTER INC,US,Cons Retail & Health,Retailing & Services,45311,Florists - DO NOT USE,45,453,4531,15342.0,,
2022-03-01,FRESH INC,US,Cons Retail & Health,Consumer Durables & Apparel,44612,Cosmetics Beauty Supplies and Perfume Stores - DO NOT USE,44,446,4461,32753.0,27033.0,
2022-03-01,FURNITURE CONCEPTS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44211,Furniture Stores - DO NOT USE,44,442,4421,12094.0,,
2022-03-01,G INVESTORS LLC,US,Not Assigned,Not Assigned,44711,Gasoline Stations with Convenience Stores - DO NOT USE,44,447,4471,64025.0,,
2022-03-01,GATEPIZZA LLC,US,Not Assigned,Not Assigned,72251,Restaurants and Other Eating Places,72,722,7225,82098.0,,
2022-03-01,GREENLAWN ROYALTY INDUSTRIES CORP,US,Cons Retail & Health,Retailing & Services,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,77152.0,68974.0,
2022-03-01,H MART INC,US,Not Assigned,Not Assigned,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,77152.0,68974.0,
2022-03-01,HEPHAISTOS BUILDING SUPPLIES INC,US,Not Assigned,Not Assigned,44419,Other Building Material Dealers - DO NOT USE,44,444,4441,42615.0,37652.0,
2022-03-01,HERBALIFE INTERNATIONAL INC,US,Cons Retail & Health,Retailing & Services,45439,Other Direct Selling Establishments - DO NOT USE,45,454,4543,104528.0,3853.0,
